name,lat,lon,line
Bornholmer Straße,52.554444,13.398056,S1 S2 and S25
Nordbahnhof,52.531944,13.387778,S1 S2 and S25
Oranienburger Straße,52.525,13.392778,S1 S2 and S25
Brandenburger Tor,52.516389,13.380833,S1 S2 and S25
Potsdamer Platz,52.509444,13.375833,S1 S2 and S25
Schwartzkopffstraße,52.535278,13.377222,U6
Naturkundemuseum,52.531111,13.3825,U6
Oranienburger Tor,52.525556,13.387222,U6
Französische Straße,52.514722,13.389167,U6
Stadtmitte,52.512222,13.389444,U6
Bernauer Straße,52.5375,13.396667,U8
Rosenthaler Platz,52.53,13.401,U8
Weinmeisterstraße,52.525,13.405,U8
Alexanderplatz,52.521389,13.411944,U8
Jannowitzbrücke,52.514638,13.418389,U8
Heinrich-Heine-Straße,52.510278,13.415833,U8